Program Time [s],data 0,data 1
8.16518,1.99362e+06,2.54193e+06
8.2067,1.99361e+06,2.54191e+06
8.24505,1.99361e+06,2.54191e+06
8.28503,1.99362e+06,2.54193e+06
8.32533,1.99362e+06,2.54198e+06
8.36613,1.99364e+06,2.54202e+06
8.40632,1.99365e+06,2.54206e+06
8.44601,1.99365e+06,2.54208e+06
8.48601,1.99366e+06,2.54212e+06
8.52633,1.99366e+06,2.54213e+06
8.56709,1.99368e+06,2.54216e+06
8.60752,1.99367e+06,2.54217e+06
8.64704,1.99368e+06,2.5422e+06
8.68704,1.99368e+06,2.54222e+06
8.72812,1.99369e+06,2.54225e+06
8.76803,1.99369e+06,2.54226e+06
8.80801,1.99367e+06,2.54218e+06
8.84812,1.99359e+06,2.54197e+06
8.88897,1.99357e+06,2.54187e+06
8.92905,1.99358e+06,2.54191e+06
8.96902,1.9936e+06,2.54198e+06
9.00936,1.99362e+06,2.54205e+06
9.049,1.99363e+06,2.54208e+06
9.09013,1.99364e+06,2.54209e+06
9.13002,1.99363e+06,2.54207e+06
9.17079,1.99363e+06,2.54207e+06
9.21002,1.99363e+06,2.54208e+06
9.25103,1.99364e+06,2.54211e+06
9.29131,1.99364e+06,2.54215e+06
9.33101,1.99366e+06,2.54218e+06
9.37102,1.99365e+06,2.5422e+06
9.412,1.99367e+06,2.54223e+06
9.45205,1.99367e+06,2.54225e+06
9.49303,1.99368e+06,2.54226e+06
9.53201,1.99368e+06,2.54228e+06
9.57302,1.99368e+06,2.5423e+06
9.61308,1.99369e+06,2.54233e+06
9.653,1.99369e+06,2.54234e+06
9.69376,1.9937e+06,2.54233e+06
9.733,1.99363e+06,2.54214e+06
9.77497,1.99358e+06,2.54196e+06
9.81408,1.99356e+06,2.54192e+06
9.85399,1.99359e+06,2.54199e+06
9.89403,1.99359e+06,2.54204e+06
9.93498,1.99362e+06,2.5421e+06
9.97525,1.99362e+06,2.54213e+06
10.015,1.99362e+06,2.54211e+06
10.055,1.99361e+06,2.54209e+06
10.096,1.99361e+06,2.54208e+06
10.136,1.99362e+06,2.54211e+06
10.1761,1.99362e+06,2.54213e+06
10.216,1.99363e+06,2.54217e+06
10.256,1.99364e+06,2.54219e+06
10.297,1.99365e+06,2.54223e+06
10.337,1.99366e+06,2.54225e+06
10.3779,1.99366e+06,2.54228e+06
10.417,1.99366e+06,2.54229e+06
10.458,1.99367e+06,2.54231e+06
10.4981,1.99367e+06,2.54233e+06
10.5383,1.99367e+06,2.54234e+06
10.578,1.99368e+06,2.54236e+06
10.6189,1.99366e+06,2.54228e+06
10.6594,1.9936e+06,2.54209e+06
10.6989,1.99355e+06,2.54195e+06
10.739,1.99356e+06,2.54198e+06
10.779,1.99358e+06,2.54203e+06
10.82,1.9936e+06,2.5421e+06
10.86,1.9936e+06,2.54213e+06
10.8999,1.99361e+06,2.54214e+06
10.9399,1.9936e+06,2.54212e+06
10.9809,1.9936e+06,2.5421e+06
11.0209,1.9936e+06,2.5421e+06
11.0609,1.99361e+06,2.54213e+06
11.101,1.99362e+06,2.54218e+06
11.1412,1.99363e+06,2.5422e+06
11.1819,1.99363e+06,2.54224e+06
11.223,1.99363e+06,2.54225e+06
11.2619,1.99364e+06,2.54229e+06
11.3019,1.99364e+06,2.5423e+06
11.3429,1.99366e+06,2.54233e+06
11.383,1.99365e+06,2.54235e+06
11.4229,1.99366e+06,2.54237e+06
11.4629,1.99366e+06,2.54239e+06
11.5039,1.99366e+06,2.54238e+06
11.544,1.99361e+06,2.54224e+06
11.584,1.99356e+06,2.54205e+06
11.6239,1.99354e+06,2.54202e+06
11.6639,1.99356e+06,2.54206e+06
11.7049,1.99358e+06,2.54213e+06
11.7449,1.99359e+06,2.54218e+06
11.785,1.9936e+06,2.54221e+06
11.8249,1.9936e+06,2.5422e+06
11.866,1.99359e+06,2.54217e+06
11.9063,1.99359e+06,2.54215e+06
11.946,1.99359e+06,2.54216e+06
11.9859,1.9936e+06,2.54219e+06
12.0269,1.99361e+06,2.54221e+06
12.0669,1.99362e+06,2.54225e+06
12.1069,1.99363e+06,2.54227e+06
12.1469,1.99363e+06,2.5423e+06
12.1869,1.99363e+06,2.5423e+06
12.2279,1.99364e+06,2.54233e+06
12.2679,1.99363e+06,2.54233e+06
12.3079,1.99364e+06,2.54236e+06
12.348,1.99364e+06,2.54235e+06
12.3892,1.99361e+06,2.54226e+06
12.4289,1.99354e+06,2.54205e+06
12.4689,1.99352e+06,2.54198e+06
12.5089,1.99353e+06,2.54203e+06
12.55,1.99356e+06,2.54209e+06
12.59,1.99357e+06,2.54215e+06
12.6302,1.99358e+06,2.54217e+06
12.6699,1.99358e+06,2.54217e+06
12.7106,1.99357e+06,2.54214e+06
12.7509,1.99357e+06,2.54215e+06
12.7909,1.99357e+06,2.54215e+06
12.831,1.99358e+06,2.54219e+06
12.8711,1.99358e+06,2.54222e+06
12.9118,1.9936e+06,2.54226e+06
12.9519,1.9936e+06,2.54229e+06
