Program Time [s],data 0,data 1,data 2
742.999,66,173,23
743.008,66,157,-183
743.018,66,176,122
743.028,66,158,-272
743.038,66,180,328
743.048,66,163,738
743.058,66,179,2205
743.068,66,168,1257
743.079,66,178,240
743.089,66,169,-547
743.099,66,182,-101
743.108,66,172,-395
743.118,66,181,-46
743.128,66,182,-210
743.138,66,189,105
743.148,66,182,-124
743.158,66,193,42
743.168,66,181,23
743.178,66,193,-165
743.189,66,177,70
743.199,66,183,121
743.208,66,171,37
743.218,66,180,164
743.228,66,164,363
743.238,66,178,321
743.248,66,165,325
743.258,66,177,825
743.268,66,161,563
743.278,66,177,822
743.288,66,164,866
743.299,66,178,728
743.309,66,165,784
743.318,66,172,444
743.329,66,167,26
743.338,66,175,-4
743.348,66,160,-227
743.358,66,177,-430
743.368,66,167,-199
743.378,66,176,-355
743.388,66,163,-760
743.398,66,177,-533
743.408,66,166,-541
743.418,66,175,-337
743.429,66,162,-490
743.438,66,176,-249
743.449,66,166,-453
743.459,66,174,-145
743.468,66,163,-237
743.478,66,176,-531
743.488,66,165,-389
743.499,66,175,-64
743.508,66,165,-391
743.518,66,180,-313
743.528,66,162,-407
743.538,66,176,-105
743.548,66,163,1
743.559,66,176,137
743.568,66,167,-363
743.578,66,173,488
743.589,66,164,-467
743.598,66,172,183
743.608,66,165,-360
743.618,66,176,492
743.628,66,164,-321
743.638,66,175,288
743.648,66,162,-495
743.658,66,174,313
743.668,66,167,-255
743.678,66,174,148
743.688,66,164,-316
743.698,66,175,449
743.708,66,162,-498
743.718,66,179,243
743.728,66,168,-294
743.738,66,180,294
743.748,66,168,-545
743.758,66,179,154
743.768,66,165,-462
743.778,66,173,296
743.788,66,164,-329
743.799,66,177,377
743.808,0,166,-523
743.818,0,177,220
743.828,0,162,-384
743.838,0,173,305
743.848,0,164,-249
743.858,0,178,511
743.868,0,176,-303
743.878,0,211,661
743.888,0,185,-369
743.898,0,181,489
743.909,0,159,-253
743.918,0,173,289
743.928,0,162,-367
743.938,0,177,356
743.948,0,166,-567
743.958,0,181,341
743.968,0,164,-521
743.978,0,177,331
743.988,0,166,-353
743.999,0,180,861
744.008,0,165,1330
744.018,0,182,1874
744.028,0,170,59
744.038,0,183,69
744.049,0,170,-807
744.058,0,190,149
744.068,0,170,-331
744.078,0,191,223
744.088,0,180,-328
744.098,0,186,254
744.108,0,183,-231
744.118,0,183,231
744.128,0,180,-127
744.138,0,182,171
744.148,0,175,-367
744.158,0,172,681
744.168,0,171,-245
744.179,0,181,875
744.19,0,161,-404
744.2,0,184,1276
744.21,0,163,-192
744.219,0,178,1285
744.23,0,164,85
744.239,0,177,1770
744.249,0,162,254
744.259,0,179,1459
744.269,0,166,29
744.279,0,181,935
744.289,0,167,-582
744.299,0,181,626
744.309,0,165,-680
744.319,0,178,-120
744.33,0,167,-618
744.34,0,177,226
744.349,0,166,-722
744.36,0,180,-50
744.369,0,164,-163
744.38,0,182,-387
744.389,0,164,-511
744.399,0,177,51
744.409,0,168,-652
744.419,0,178,46
744.429,0,164,-621
744.439,0,180,360
744.449,0,164,-448
744.459,0,179,155
744.469,0,167,-546
744.48,0,177,102
744.489,0,163,-493
744.499,0,176,319
744.509,0,162,-384
744.519,0,182,141
744.529,0,164,-438
744.539,0,182,154
744.549,0,161,-496
744.559,0,180,193
744.569,0,163,-398
744.579,0,177,190
744.589,0,164,-443
744.599,0,179,242
744.609,0,166,-203
744.619,0,168,123
744.629,0,164,-478
744.639,0,170,64
744.649,0,164,-480
744.66,0,170,431
744.669,0,166,-149
744.68,0,175,78
744.689,0,164,-441
744.699,0,171,124
744.709,0,163,-359
744.719,0,169,149
744.729,0,163,-422
744.739,0,168,364
744.75,0,161,-261
744.76,0,169,75
744.769,0,164,-182
744.78,0,167,240
744.79,0,166,-184
744.799,0,175,237
744.81,0,189,129
744.819,0,203,252
744.829,60,175,-135
744.839,60,171,153
744.85,60,161,-294
744.86,60,170,229
744.869,60,163,-329
744.88,60,170,93
744.889,60,165,-291
744.899,60,172,125
744.91,60,168,-347
744.919,60,172,154
744.929,60,165,145
744.939,60,171,1440
744.95,60,168,1902
744.96,60,174,1309
744.969,60,167,-251
744.98,60,173,246
744.989,60,174,-366
744.999,60,180,202
