Time [s],x,y,z,flag
816.48,-0.070312,-0.007812,0.453125,0
816.491,-0.0625,0.015625,0.515625,0
816.501,-0.0625,-0.023438,0.476562,0
816.512,-0.0625,-0.015625,0.484375,0
816.523,-0.078125,-0.015625,0.484375,0
816.532,-0.078125,-0.015625,0.484375,0
816.543,-0.0625,-0.039062,0.46875,0
816.553,-0.109375,0,0.507812,0
816.564,-0.085938,-0.03125,0.492188,0
816.575,-0.085938,-0.007812,0.507812,0
816.585,-0.085938,0,0.484375,0
816.596,-0.09375,0,0.484375,0
816.606,-0.101562,-0.007812,0.492188,0
816.617,-0.078125,-0.023438,0.492188,0
816.627,-0.078125,-0.007812,0.5,0
816.638,-0.085938,-0.015625,0.484375,0
816.648,-0.085938,-0.007812,0.476562,0
816.66,-0.078125,-0.007812,0.484375,0
816.67,-0.085938,0,0.476562,0
816.68,-0.085938,-0.007812,0.492188,0
816.691,-0.101562,0,0.515625,0
816.701,-0.085938,-0.007812,0.5,0
816.712,-0.09375,-0.015625,0.492188,0
816.723,-0.070312,-0.015625,0.476562,0
816.733,-0.070312,-0.023438,0.484375,0
816.743,-0.085938,-0.015625,0.484375,0
816.754,-0.078125,-0.007812,0.476562,0
816.764,-0.085938,0,0.476562,0
816.775,-0.078125,0,0.476562,0
816.785,-0.085938,-0.007812,0.5,0
816.796,-0.078125,-0.007812,0.476562,0
816.806,-0.085938,-0.007812,0.476562,0
816.817,-0.078125,-0.007812,0.476562,0
816.827,-0.070312,-0.007812,0.476562,0
816.838,-0.070312,-0.007812,0.460938,0
816.849,-0.070312,-0.007812,0.476562,0
816.859,-0.085938,0,0.507812,0
816.87,-0.078125,-0.007812,0.484375,0
816.88,-0.078125,-0.007812,0.484375,0
816.891,-0.070312,-0.015625,0.484375,0
816.901,-0.0625,-0.007812,0.484375,0
816.912,-0.070312,0,0.507812,0
816.922,-0.078125,0.007812,0.492188,0
816.933,-0.078125,-0.015625,0.476562,0
816.943,-0.070312,0,0.492188,0
816.954,-0.078125,-0.007812,0.484375,0
816.964,-0.078125,0,0.46875,0
816.974,-0.0625,0.023438,0.453125,0
816.985,-0.101562,0.007812,0.507812,0
816.996,-0.070312,0,0.460938,0
817.006,-0.078125,0,0.476562,0
817.016,-0.078125,0,0.492188,0
817.027,-0.078125,0,0.484375,0
817.037,-0.078125,0,0.492188,0
817.048,-0.078125,0,0.492188,0
817.058,-0.078125,-0.007812,0.484375,0
817.069,-0.078125,-0.007812,0.484375,0
817.079,-0.078125,0.007812,0.46875,0
817.09,-0.070312,0.007812,0.46875,0
817.1,-0.078125,0.007812,0.476562,0
817.111,-0.070312,0,0.476562,0
817.121,-0.070312,0,0.460938,0
817.132,-0.070312,0.007812,0.460938,0
817.143,-0.078125,0.007812,0.492188,0
817.153,-0.070312,0,0.492188,0
817.163,-0.054688,0.007812,0.484375,0
817.174,-0.070312,-0.015625,0.515625,0
817.185,-0.070312,0.015625,0.460938,0
817.195,-0.070312,0.007812,0.460938,0
817.206,-0.078125,0.015625,0.453125,0
817.217,-0.085938,0.03125,0.476562,0
817.227,-0.078125,0.03125,0.476562,0
817.237,-0.085938,0.039062,0.476562,0
817.248,-0.078125,0.039062,0.46875,0
817.258,-0.078125,0.039062,0.5,0
817.269,-0.078125,0.039062,0.515625,0
817.279,-0.085938,0.054688,0.515625,0
817.29,-0.054688,0.070312,0.515625,0
817.3,-0.078125,0.078125,0.492188,0
817.311,-0.070312,0.078125,0.5,0
817.321,-0.0625,0.085938,0.507812,0
817.332,-0.054688,0.09375,0.492188,0
817.343,-0.0625,0.132812,0.539062,0
817.353,-0.070312,0.125,0.546875,0
817.363,-0.046875,0.125,0.5,0
817.374,-0.078125,0.15625,0.515625,0
817.384,-0.070312,0.15625,0.492188,0
817.395,-0.0625,0.148438,0.523438,0
817.405,-0.078125,0.15625,0.523438,0
817.416,-0.085938,0.132812,0.53125,0
817.426,-0.070312,0.15625,0.5,0
817.437,-0.085938,0.125,0.546875,0
817.447,-0.09375,0.117188,0.539062,0
817.458,-0.0625,0.09375,0.53125,0
817.469,-0.046875,0.101562,0.484375,0
817.479,-0.078125,0.078125,0.539062,0
817.489,-0.015625,0.054688,0.421875,0
817.5,-0.046875,0.03125,0.476562,0
817.51,-0.039062,0.03125,0.460938,0
817.521,-0.039062,0.007812,0.460938,0
817.531,-0.039062,-0.03125,0.453125,0
817.542,-0.046875,-0.015625,0.476562,0
817.552,-0.054688,-0.03125,0.4375,0
817.563,-0.054688,-0.078125,0.375,0
817.573,-0.078125,-0.054688,0.460938,0
817.584,-0.085938,-0.070312,0.460938,0
817.595,-0.078125,-0.054688,0.429688,0
817.605,-0.085938,-0.078125,0.484375,0
817.616,-0.109375,-0.125,0.429688,0
817.626,-0.117188,-0.09375,0.46875,0
817.637,-0.117188,-0.09375,0.460938,0
817.647,-0.140625,-0.085938,0.414062,0
817.658,-0.164062,-0.070312,0.359375,0
817.669,-0.164062,-0.09375,0.351562,0
817.679,-0.15625,-0.078125,0.359375,0
817.689,-0.140625,-0.101562,0.4375,0
817.7,-0.109375,-0.125,0.445312,0
817.71,-0.117188,-0.125,0.460938,0
817.721,-0.164062,-0.117188,0.46875,0
817.732,-0.171875,-0.117188,0.4375,0
817.742,-0.164062,-0.125,0.445312,0
817.753,-0.140625,-0.109375,0.4375,0
817.763,-0.148438,-0.125,0.476562,0
817.774,-0.148438,-0.148438,0.484375,0
817.785,-0.164062,-0.148438,0.484375,0
817.795,-0.132812,-0.140625,0.46875,0
817.805,-0.140625,-0.164062,0.484375,0
817.816,-0.132812,-0.15625,0.5,0
817.826,-0.132812,-0.164062,0.5,0
817.837,-0.132812,-0.164062,0.5,0
817.847,-0.117188,-0.179688,0.460938,0
817.858,-0.125,-0.15625,0.5,0
817.868,-0.125,-0.148438,0.484375,0
817.879,-0.148438,-0.140625,0.5,0
817.889,-0.140625,-0.132812,0.484375,0
817.9,-0.148438,-0.132812,0.484375,0
817.91,-0.117188,-0.125,0.476562,0
817.921,-0.117188,-0.125,0.460938,0
817.931,-0.132812,-0.101562,0.4375,0
817.942,-0.132812,-0.09375,0.445312,0
817.952,-0.125,-0.101562,0.453125,0
817.963,-0.125,-0.109375,0.484375,0
817.973,-0.132812,-0.078125,0.460938,0
817.984,-0.171875,-0.085938,0.515625,0
817.994,-0.109375,-0.125,0.460938,0
818.005,-0.140625,-0.085938,0.453125,0
818.015,-0.125,-0.109375,0.492188,0
818.026,-0.117188,-0.117188,0.484375,0
818.036,-0.117188,-0.109375,0.492188,0
818.047,-0.132812,-0.117188,0.453125,0
818.057,-0.132812,-0.078125,0.492188,0
818.068,-0.101562,-0.078125,0.445312,0
818.078,-0.117188,-0.085938,0.445312,0
818.089,-0.101562,-0.070312,0.445312,0
818.1,-0.109375,-0.054688,0.4375,0
818.11,-0.101562,-0.0625,0.429688,0
818.121,-0.109375,-0.046875,0.445312,0
818.131,-0.101562,-0.054688,0.4375,0
818.142,-0.101562,-0.046875,0.453125,0
818.152,-0.109375,-0.039062,0.460938,0
818.163,-0.117188,-0.023438,0.46875,0
818.173,-0.132812,-0.015625,0.460938,0
818.184,-0.132812,-0.023438,0.460938,0
818.195,-0.132812,-0.023438,0.476562,0
818.205,-0.125,-0.023438,0.46875,0
818.216,-0.140625,-0.015625,0.5,0
818.226,-0.148438,-0.015625,0.507812,0
818.237,-0.140625,0.007812,0.523438,0
818.247,-0.140625,-0.023438,0.507812,0
818.258,-0.148438,-0.007812,0.484375,0
818.268,-0.132812,-0.007812,0.476562,0
818.279,-0.132812,0,0.492188,0
818.29,-0.148438,0.007812,0.515625,0
818.301,-0.125,0.007812,0.492188,0
818.31,-0.117188,0,0.460938,0
818.321,-0.117188,0.007812,0.46875,0
818.331,-0.117188,-0.007812,0.453125,0
818.342,-0.132812,0.015625,0.46875,0
818.353,-0.101562,0.015625,0.460938,0
818.363,-0.117188,0.023438,0.460938,0
818.374,-0.117188,0.023438,0.476562,0
818.384,-0.117188,0.03125,0.476562,0
818.395,-0.117188,0.03125,0.492188,0
818.405,-0.09375,0.03125,0.46875,0
818.416,-0.117188,0.046875,0.484375,0
818.426,-0.085938,0.03125,0.460938,0
818.437,-0.101562,0.03125,0.484375,0
818.449,-0.101562,0.046875,0.484375,0
818.459,-0.09375,0.039062,0.476562,0
818.47,-0.101562,0.078125,0.484375,0
818.48,-0.09375,0.046875,0.429688,0
818.491,-0.09375,0.039062,0.453125,0
818.501,-0.101562,0.046875,0.46875,0
818.512,-0.101562,0.039062,0.453125,0
818.523,-0.109375,0.046875,0.476562,0
818.533,-0.09375,0.046875,0.453125,0
818.543,-0.09375,0.039062,0.460938,0
818.554,-0.085938,0.023438,0.429688,0
818.564,-0.078125,0.039062,0.4375,0
818.575,-0.070312,0.03125,0.460938,0
818.585,-0.078125,0.023438,0.476562,0
818.596,-0.070312,0.023438,0.484375,0
818.606,-0.078125,0.015625,0.484375,0
818.617,-0.078125,0.03125,0.484375,0
818.627,-0.085938,0.023438,0.484375,0
818.638,-0.09375,0.007812,0.492188,0
818.648,-0.078125,0.015625,0.492188,0
818.659,-0.101562,0.023438,0.492188,0
818.669,-0.109375,0.007812,0.484375,0
818.68,-0.101562,0.015625,0.492188,0
818.69,-0.101562,0.007812,0.484375,0
818.701,-0.117188,0.015625,0.507812,0
818.712,-0.117188,0.023438,0.515625,0
818.722,-0.117188,0.015625,0.539062,0
818.733,-0.117188,0.015625,0.515625,0
818.743,-0.117188,0.03125,0.523438,0
818.755,-0.109375,0.015625,0.5,0
818.764,-0.109375,0.023438,0.492188,0
