Program Time [s],data 0,data 1,data 2,data 3,,,,,Program Time [s],data 0,data 1,data 2,data 3
781.961,0.039062,0.117188,0.46875,0,,,,,815.005,-0.179688,-0.109375,0.421875,0
781.971,0.03125,0.125,0.476562,0,,,,,815.016,-0.171875,-0.132812,0.429688,0
781.982,0.03125,0.117188,0.460938,0,,,,,815.026,-0.164062,-0.109375,0.414062,0
781.992,0.03125,0.125,0.46875,0,,,,,815.037,-0.171875,-0.101562,0.4375,0
782.003,0.039062,0.117188,0.46875,0,,,,,815.048,-0.171875,-0.09375,0.445312,0
782.013,0.039062,0.125,0.46875,0,,,,,815.058,-0.179688,-0.101562,0.421875,0
782.024,0.039062,0.117188,0.476562,0,,,,,815.069,-0.164062,-0.09375,0.421875,0
782.035,0.03125,0.117188,0.476562,0,,,,,815.079,-0.164062,-0.109375,0.421875,0
782.045,0.03125,0.125,0.476562,0,,,,,815.09,-0.148438,-0.109375,0.4375,0
782.056,0.03125,0.125,0.46875,0,,,,,815.101,-0.140625,-0.117188,0.445312,0
782.066,0.03125,0.117188,0.476562,0,,,,,815.111,-0.132812,-0.117188,0.453125,0
782.076,0.039062,0.125,0.476562,0,,,,,815.122,-0.132812,-0.125,0.421875,0
782.087,0.03125,0.125,0.484375,0,,,,,815.132,-0.140625,-0.109375,0.4375,0
782.098,0.03125,0.117188,0.476562,0,,,,,815.143,-0.15625,-0.101562,0.445312,0
782.108,0.03125,0.117188,0.476562,0,,,,,815.153,-0.140625,-0.109375,0.460938,0
782.119,0.03125,0.117188,0.476562,0,,,,,815.164,-0.140625,-0.125,0.46875,0
782.129,0.03125,0.117188,0.453125,0,,,,,815.174,-0.132812,-0.101562,0.460938,0
782.14,0.039062,0.117188,0.460938,0,,,,,815.185,-0.125,-0.117188,0.445312,0
782.15,0.039062,0.117188,0.476562,0,,,,,815.195,-0.140625,-0.117188,0.484375,0
782.161,0.039062,0.117188,0.46875,0,,,,,815.206,-0.132812,-0.117188,0.476562,0
782.171,0.03125,0.117188,0.46875,0,,,,,815.217,-0.148438,-0.132812,0.453125,0
782.182,0.039062,0.125,0.476562,0,,,,,815.227,-0.164062,-0.09375,0.515625,0
782.192,0.03125,0.125,0.476562,0,,,,,815.238,-0.125,-0.109375,0.4375,0
782.203,0.03125,0.125,0.484375,0,,,,,815.248,-0.148438,-0.101562,0.484375,0
782.214,0.023438,0.117188,0.476562,0,,,,,815.259,-0.140625,-0.109375,0.484375,0
782.224,0.039062,0.125,0.476562,0,,,,,815.269,-0.140625,-0.109375,0.460938,0
782.235,0.03125,0.117188,0.46875,0,,,,,815.279,-0.109375,-0.117188,0.46875,0
782.245,0.039062,0.117188,0.476562,0,,,,,815.29,-0.125,-0.117188,0.460938,0
782.256,0.039062,0.117188,0.46875,0,,,,,815.301,-0.132812,-0.117188,0.4375,0
782.266,0.03125,0.109375,0.46875,0,,,,,815.311,-0.117188,-0.125,0.476562,0
782.276,0.03125,0.117188,0.476562,0,,,,,815.322,-0.140625,-0.117188,0.507812,0
782.287,0.03125,0.125,0.46875,0,,,,,815.332,-0.109375,-0.125,0.429688,0
782.297,0.03125,0.125,0.476562,0,,,,,815.343,-0.117188,-0.125,0.445312,0
782.308,0.039062,0.117188,0.476562,0,,,,,815.353,-0.117188,-0.117188,0.460938,0
782.318,0.039062,0.125,0.46875,0,,,,,815.364,-0.117188,-0.117188,0.460938,0
782.329,0.03125,0.117188,0.46875,0,,,,,815.374,-0.117188,-0.125,0.460938,0
782.34,0.03125,0.117188,0.476562,0,,,,,815.385,-0.109375,-0.125,0.445312,0
782.35,0.03125,0.125,0.46875,0,,,,,815.396,-0.117188,-0.109375,0.484375,0
782.361,0.03125,0.117188,0.46875,0,,,,,815.406,-0.125,-0.117188,0.507812,0
782.371,0.046875,0.117188,0.46875,0,,,,,815.417,-0.125,-0.117188,0.460938,0
782.381,0.03125,0.117188,0.46875,0,,,,,815.427,-0.125,-0.109375,0.476562,0
782.392,0.03125,0.125,0.46875,0,,,,,815.438,-0.125,-0.109375,0.476562,0
782.402,0.03125,0.117188,0.46875,0,,,,,815.448,-0.125,-0.109375,0.460938,0
782.413,0.039062,0.125,0.46875,0,,,,,815.459,-0.101562,-0.117188,0.429688,0
782.428,0.039062,0.125,0.46875,0,,,,,815.469,-0.132812,-0.117188,0.46875,0
782.439,0.039062,0.117188,0.476562,0,,,,,815.48,-0.132812,-0.109375,0.4375,0
782.449,0.039062,0.125,0.476562,0,,,,,815.491,-0.132812,-0.09375,0.476562,0
782.46,0.039062,0.125,0.476562,0,,,,,815.501,-0.117188,-0.09375,0.453125,0
782.47,0.039062,0.117188,0.476562,0,,,,,815.512,-0.117188,-0.101562,0.453125,0
782.481,0.039062,0.117188,0.476562,0,,,,,815.522,-0.109375,-0.101562,0.460938,0
782.492,0.039062,0.125,0.460938,0,,,,,815.533,-0.132812,-0.085938,0.492188,0
782.502,0.039062,0.117188,0.46875,0,,,,,815.543,-0.09375,-0.125,0.4375,0
782.513,0.039062,0.117188,0.46875,0,,,,,815.554,-0.109375,-0.109375,0.460938,0
782.523,0.03125,0.117188,0.476562,0,,,,,815.564,-0.101562,-0.101562,0.476562,0
782.534,0.039062,0.125,0.46875,0,,,,,815.575,-0.101562,-0.101562,0.484375,0
782.545,0.03125,0.125,0.476562,0,,,,,815.585,-0.085938,-0.09375,0.445312,0
782.555,0.03125,0.117188,0.484375,0,,,,,815.596,-0.101562,-0.085938,0.429688,0
782.565,0.03125,0.125,0.46875,0,,,,,815.606,-0.101562,-0.085938,0.414062,0
782.576,0.03125,0.125,0.476562,0,,,,,815.617,-0.09375,-0.078125,0.421875,0
782.586,0.039062,0.125,0.46875,0,,,,,815.627,-0.085938,-0.09375,0.429688,0
782.597,0.03125,0.125,0.46875,0,,,,,815.638,-0.070312,-0.117188,0.421875,0
782.607,0.039062,0.117188,0.46875,0,,,,,815.648,-0.085938,-0.085938,0.492188,0
